Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
NC-06,Mark Walker (R),123651,160709,0,43.5,56.5,0,-13,-14.6,1.6,78.5
NC-07,David Rouzer (R),120838,156809,4665,42.8,55.5,1.7,-12.7,-17.7,5,78.2
NC-08,Richard Hudson (R),114119,141402,0,44.7,55.3,0,-10.7,-14.8,4.1,76.3
NC-09,(),138341,139246,5130,48.9,49.3,1.8,-0.3,-12,11.7,81.4
NC-10,Patrick McHenry (R),113259,164969,0,40.7,59.3,0,-18.6,-24,5.4,77
NC-11,Mark Meadows (R),116508,178012,6146,38.7,59.2,2,-20.5,-29.1,8.6,81.5
NC-12,Alma Adams (D),203974,75164,0,73.1,26.9,0,46.1,39.8,6.3,77.1
NC-13,Ted Budd (R),130402,147570,8344,45.5,51.5,2.9,-6,-9.2,3.2,77.8
ND-AL,Kelly Armstrong (R),114377,193568,13587,35.6,60.2,4.2,-24.6,-35.7,11.1,93.4
OH-01,Steve Chabot (R),141118,154409,5344,46.9,51.3,1.8,-4.4,-6.6,2.2,83.1
OH-02,Brad Wenstrup (R),119333,166714,3614,41.2,57.6,1.2,-16.4,-16,-0.4,81.4
OH-03,Joyce Beatty (D),181575,65040,62,73.6,26.4,0,47.2,38.9,8.3,78.5
OH-04,Jim Jordan (R),89412,167993,0,34.7,65.3,0,-30.5,-33.4,2.9,78.8
OH-05,Bob Latta (R),99655,176569,7393,35.1,62.3,2.6,-27.1,-24.9,-2.2,78.4
OH-06,Bill Johnson (R),76716,172774,0,30.7,69.3,0,-38.5,-42.3,3.8,77.4
OH-07,Bob Gibbs (R),107536,153117,0,41.3,58.7,0,-17.5,-29.6,12.1,79.1
OH-08,Warren Davidson (R),87281,173852,0,33.4,66.6,0,-33.2,-34.3,1.1,75.6
OH-09,Marcy Kaptur (D),157219,74670,48,67.8,32.2,0,35.6,22.2,13.4,76.9
OH-10,Mike Turner (R),118785,157554,5387,42.2,55.9,1.9,-13.8,-7.2,-6.6,80.4
OH-11,Marcia Fudge (D),206138,44486,36,82.2,17.7,0,64.5,63.5,1,77.5
OH-12,Troy Balderson (R),161251,175677,4719,47.2,51.4,1.4,-4.2,-11.4,7.2,87.9
OH-13,Tim Ryan (D),153323,98047,0,61,39,0,22,6.5,15.5,78.6
OH-14,David Joyce (R),137549,169809,0,44.8,55.2,0,-10.5,-11.4,0.9,82.9
OH-15,Steve Stivers (R),116112,170593,5738,39.7,58.3,2,-18.6,-15.6,-3,81.9
OH-16,Anthony Gonzalez (R),129681,170029,0,43.3,56.7,0,-13.5,-16.6,3.1,81.1
OK-01,Kevin Hern (R),103042,150129,0,40.7,59.3,0,-18.6,-28.8,10.2,81.3
OK-02,Markwayne Mullin (R),65021,140451,10530,30.1,65,4.9,-34.9,-50.1,15.2,79.5
OK-03,Frank Lucas (R),61152,172913,0,26.1,73.9,0,-47.7,-52.8,5.1,79.8
OK-04,Tom Cole (R),78088,149227,9323,33,63.1,3.9,-30.1,-37.2,7.1,80.1
OK-05,Kendra Horn (D),121149,117811,0,50.7,49.3,0,1.4,-13.7,15.1,85.1
OR-01,Suzanne Bonamici (D),231198,116446,15605,63.6,32.1,4.3,31.6,21.9,9.7,91
OR-02,Greg Walden (R),145298,207597,15814,39.4,56.3,4.3,-16.9,-19.4,2.5,93.6
OR-03,Earl Blumenauer (D),279019,76187,29120,72.6,19.8,7.6,52.8,46.7,6.1,93.1
OR-04,Peter DeFazio (D),208710,152414,11769,56,40.9,3.2,15.1,0.1,15,91.8
OR-05,Kurt Schrader (D),197187,149887,11395,55,41.8,3.2,13.2,4.1,9.1,92.1
PA-01,Brian Fitzpatrick (R),160745,169053,0,48.7,51.3,0,-2.5,2,-4.5,85.5
PA-02,Brendan Boyle (D),159600,42382,0,79,21,0,58,48,10,71.1
PA-03,Dwight Evans (D),287610,20387,0,93.4,6.6,0,86.8,83.9,2.9,82.4
PA-04,Madeleine Dean (D),211524,121467,0,63.5,36.5,0,27,19.4,7.6,87.1
PA-05,Mary Gay Scanlon (D),198639,106075,0,65.2,34.8,0,30.4,28.2,2.2,82.9
